# Очередь приёмки слов разговорного регистра. Одна строка — одно слово-кандидат.
# Источник и метод: docs/CORPUS.md, решение по OpenSubtitles — docs/CORPUS-OS.md.
# Слова НЕ добавлены ни в один поставляемый словарь.
#
# approved заполняет ТОЛЬКО оператор лично, поимённо. Генератор всегда пишет её пустой;
# правило записано в docs/TATAR-REVIEW-QUEUE.tsv: словарные наборы — не строки интерфейса.
# approved: (пусто) | yes | no
#
# Сортировка — по убыванию пользы: сначала heldout_hits (сколько раз слово встретилось в
# отложенной разговорной выборке, не участвовавшей в его ранжировании), затем train_freq.
# Список длинный намеренно: можно идти сверху вниз и остановиться в любой момент.
#
# heldout_hits  — вхождений в отложенной разговорной выборке (10 % строк, после дедупликации)
# train_freq    — вхождений в обучающей части разговорных корпусов, ВСЕХ вместе
# train_freq_clean — из них вхождений только в корпусах с чистой лицензией (Tatoeba). Именно
#                 это число останется, если решение по OpenSubtitles отменят. Ноль означает,
#                 что слово держится на одних субтитрах, даже когда license_status = clean:
#                 метка clean говорит, что словоформа встречается в Tatoeba, а НЕ что её
#                 частота получена без OpenSubtitles.
# sources       — из каких корпусов слово пришло
# cap_ratio     — доля вхождений с заглавной буквы НЕ в начале строки; чем ближе к 1,
#                 тем вероятнее это имя собственное, проскочившее фильтр. 0.00 — чисто.
# enters_top100k — вошло бы слово в top-100k при слиянии частот (нижняя оценка)
# license_status — под какой лицензией слово получено:
#   clean:CC-BY-2.0-FR      — Tatoeba, грант есть
#   risk-accepted:no-grant  — слово встречается только в OpenSubtitles. Лицензионного гранта у
#                             OpenSubtitles нет вообще: это не «неясная» лицензия, а
#                             отсутствующая. Оператор 2026-08-24 решил взять источник, зная это.
#                             Строка помечена, чтобы происхождение слова оставалось видно;
#                             вычитывается она наравне с чистыми.
# Слова, встречающиеся ТОЛЬКО в QED (research only) или TED2020 (CC BY-NC-ND), в очередь
# не попадают вовсе: их нельзя принять ни при каком решении оператора, и держать их здесь
# значило бы тратить его время. Их число указано в docs/CORPUS.md.
#
# Не попадают и слова, которые не доходят до top-100k даже при ВЕРХНЕЙ границе интервала
# частот: отсечка словаря жёстко 100 000 записей, такое слово не войдёт в ассет ни при каком
# допущении, и вычитывать его — работа, которая ничего не изменит. Сколько таких слов
# отброшено, печатает сам генератор и записано в docs/CORPUS-OS.md.
word	heldout_hits	train_freq	train_freq_clean	sources	license_status	cap_ratio	enters_top100k	approved	reviewer	review_date	note
дружок	868	7374	14	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.02	yes				
пойдёшь	862	7490	320	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
волнуюсь	860	7585	36	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
выгляжу	858	7720	120	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
урод	841	7169	15	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.01	yes				
стойте	837	7267	87	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.04	yes				
закрой	832	7766	209	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.02	yes				
расслабься	827	7076	33	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.02	yes				
одолжение	826	6992	63	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
псих	822	7320	32	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.03	yes				
закончу	817	7164	112	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
мсье	810	7481	1	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.02	yes				
начинай	805	7143	75	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.01	yes				
оставайся	803	7974	154	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.02	yes				
шлюха	802	7518	16	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.01	yes				
трогай	785	6955	130	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
устроим	784	7166	43	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
беспокойся	778	6686	207	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
захочу	774	7190	56	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
сядь	774	7015	137	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.02	yes				
взгляни	770	6843	76	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.02	yes				
заходи	763	6748	89	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.02	yes				
нравлюсь	763	6553	242	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
займусь	762	7298	74	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
заплачу	760	6913	90	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
выйдешь	747	7079	66	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.01	yes				
слышь	744	6360	10	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.10	yes				
сними	739	6595	93	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.02	yes				
задницы	727	6373	3	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.01	yes				
веди	722	6304	104	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.01	yes				
чёртов	716	6468	19	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.01	yes				
забери	713	5951	34	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.02	yes				
дорогуша	711	6507	10	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.01	yes				
отправлю	711	6169	45	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
ведешь	707	5940	5	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
позволите	706	6095	32	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
придешь	704	6290	19	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.01	yes				
ненавидишь	703	5866	136	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
ответь	695	6125	96	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.02	yes				
принесите	695	6106	247	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.01	yes				
отвезу	692	6364	117	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
сходи	690	6109	131	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.01	yes				
заднице	685	6338	12	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
чёрту	676	5779	77	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.01	yes				
беспокоюсь	672	6128	179	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
братан	670	6525	7	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.01	yes				
сходим	666	5745	114	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
следи	665	6151	74	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.01	yes				
запомни	665	5737	51	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.02	yes				
найдёшь	661	5917	193	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
справишься	656	6125	61	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
подойди	656	5895	50	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.02	yes				
умрешь	656	5630	5	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
убирайся	655	5955	59	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.04	yes				
фп	653	5869	0	OpenSubtitles	risk-accepted:no-grant	0.01	yes				
сиськи	649	5711	19	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.03	yes				
передам	645	5531	41	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
брошу	640	5194	45	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
болтать	636	5899	69	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
злишься	635	5971	75	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
зови	635	5404	89	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.02	yes				
позабочусь	634	5697	77	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
рассказывай	634	5536	128	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.01	yes				
отойди	629	5699	57	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.02	yes				
попозже	629	5273	98	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
бросай	623	5861	90	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.02	yes				
бро	617	5718	2	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.04	yes				
уезжаю	613	5191	148	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
прими	612	5488	84	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.02	yes				
попроси	605	5309	208	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.01	yes				
пойдемте	599	5337	4	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.02	yes				
уеду	597	5744	106	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
задница	597	5662	10	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.02	yes				
поможете	596	5958	162	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
остановись	595	5367	35	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.02	yes				
останься	593	4940	93	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.03	yes				
зайду	591	5284	123	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
уходишь	581	5197	80	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
вернёшься	580	5235	157	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
просишь	580	5012	72	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
выпей	580	4908	106	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.02	yes				
используй	576	5243	71	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.01	yes				
погодите	575	5252	21	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.04	yes				
воняет	575	4909	32	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
объясни	567	5504	125	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
перезвоню	566	5068	122	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
уйдешь	560	4847	8	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
пойди	559	5223	180	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.01	yes				
езжай	552	5325	14	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.01	yes				
открывай	551	5048	90	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.01	yes				
возьмешь	551	4814	9	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
называешь	550	4729	30	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
слушаешь	545	4949	135	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
уйди	544	4947	51	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.03	yes				
беспокойтесь	544	4583	169	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
бш	542	4541	0	OpenSubtitles	risk-accepted:no-grant	0.70	yes				
лезь	541	4667	60	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
надень	536	4662	122	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.01	yes				
девчонку	536	4532	12	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.01	yes				
милорд	533	4644	10	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.03	yes				
приготовлю	533	4529	110	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
достану	525	4872	21	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
забирай	519	4572	25	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.01	yes				
поешь	517	4202	87	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
спрашиваешь	516	4910	66	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
позволишь	515	4669	21	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
отвечай	513	4385	95	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.01	yes				
заставлю	513	4055	32	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
отвали	509	4442	8	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.08	yes				
потише	502	4526	177	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
угадай	499	4603	109	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.09	yes				
потеряю	495	4542	35	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
держишь	495	4382	63	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
предупреждаю	493	4769	41	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.01	yes				
закончишь	491	4275	82	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
устрою	491	4241	23	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
болван	489	4658	19	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.03	yes				
стерва	484	4083	2	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.01	yes				
позову	482	4161	78	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
засранец	481	4662	10	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.01	yes				
синьор	479	4621	2	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.03	yes				
принимаешь	479	4147	72	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
снимай	474	4511	37	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.02	yes				
заслуживаешь	473	4315	62	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
возражаете	471	4439	80	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
опусти	471	4291	17	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.01	yes				
уедем	470	4670	77	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
умираю	468	4156	80	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.01	yes				
зовите	468	3902	78	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.02	yes				
ублюдки	466	4090	4	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.01	yes				
приведи	465	4326	70	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.03	yes				
секундочку	465	4158	26	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.01	yes				
прощу	465	3940	118	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
проснись	464	3683	19	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.04	yes				
обещай	463	3892	109	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.01	yes				
чертова	461	4326	0	OpenSubtitles	risk-accepted:no-grant	0.01	yes				
плачь	460	3772	37	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.01	yes				
стреляй	459	4043	35	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.02	yes				
оставишь	457	4474	35	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
позови	457	3767	100	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.02	yes				
подумаю	455	3980	63	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
скучал	455	3709	125	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
сяду	454	3786	95	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
встань	452	4149	64	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.03	yes				
тако	452	3850	3	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.22	yes				
нервничаю	448	4047	42	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
братец	448	3994	7	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.02	yes				
носишь	447	4082	93	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
ложись	446	4154	75	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.02	yes				
займись	446	4084	39	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.01	yes				
разговариваешь	446	4017	134	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
приедешь	446	3925	100	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.01	yes				
тачку	445	3882	8	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
поезжай	445	3859	86	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.01	yes				
позволяй	444	3746	93	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
сыграем	441	4172	101	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
подними	440	4223	55	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.03	yes				
отпущу	440	4059	41	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
пришлю	439	4009	78	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
встречаешься	438	3984	56	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
расскажете	438	3866	57	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
отправь	437	3974	56	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.01	yes				
отойдите	436	3767	51	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.03	yes				
