# Очередь приёмки слов разговорного регистра. Одна строка — одно слово-кандидат.
# Источник и метод: docs/CORPUS.md, решение по OpenSubtitles — docs/CORPUS-OS.md.
# Слова НЕ добавлены ни в один поставляемый словарь.
#
# approved заполняет ТОЛЬКО оператор лично, поимённо. Генератор всегда пишет её пустой;
# правило записано в docs/TATAR-REVIEW-QUEUE.tsv: словарные наборы — не строки интерфейса.
# approved: (пусто) | yes | no
#
# Сортировка — по убыванию пользы: сначала heldout_hits (сколько раз слово встретилось в
# отложенной разговорной выборке, не участвовавшей в его ранжировании), затем train_freq.
# Список длинный намеренно: можно идти сверху вниз и остановиться в любой момент.
#
# heldout_hits  — вхождений в отложенной разговорной выборке (10 % строк, после дедупликации)
# train_freq    — вхождений в обучающей части разговорных корпусов, ВСЕХ вместе
# train_freq_clean — из них вхождений только в корпусах с чистой лицензией (Tatoeba). Именно
#                 это число останется, если решение по OpenSubtitles отменят. Ноль означает,
#                 что слово держится на одних субтитрах, даже когда license_status = clean:
#                 метка clean говорит, что словоформа встречается в Tatoeba, а НЕ что её
#                 частота получена без OpenSubtitles.
# sources       — из каких корпусов слово пришло
# cap_ratio     — доля вхождений с заглавной буквы НЕ в начале строки; чем ближе к 1,
#                 тем вероятнее это имя собственное, проскочившее фильтр. 0.00 — чисто.
# enters_top100k — вошло бы слово в top-100k при слиянии частот (нижняя оценка)
# license_status — под какой лицензией слово получено:
#   clean:CC-BY-2.0-FR      — Tatoeba, грант есть
#   risk-accepted:no-grant  — слово встречается только в OpenSubtitles. Лицензионного гранта у
#                             OpenSubtitles нет вообще: это не «неясная» лицензия, а
#                             отсутствующая. Оператор 2026-08-24 решил взять источник, зная это.
#                             Строка помечена, чтобы происхождение слова оставалось видно;
#                             вычитывается она наравне с чистыми.
# Слова, встречающиеся ТОЛЬКО в QED (research only) или TED2020 (CC BY-NC-ND), в очередь
# не попадают вовсе: их нельзя принять ни при каком решении оператора, и держать их здесь
# значило бы тратить его время. Их число указано в docs/CORPUS.md.
#
# Не попадают и слова, которые не доходят до top-100k даже при ВЕРХНЕЙ границе интервала
# частот: отсечка словаря жёстко 100 000 записей, такое слово не войдёт в ассет ни при каком
# допущении, и вычитывать его — работа, которая ничего не изменит. Сколько таких слов
# отброшено, печатает сам генератор и записано в docs/CORPUS-OS.md.
word	heldout_hits	train_freq	train_freq_clean	sources	license_status	cap_ratio	enters_top100k	approved	reviewer	review_date	note
югал	4	74	1	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
җыенасың	4	45	12	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
аңлыйсызмы	4	44	16	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
уһ	4	43	0	OpenSubtitles	risk-accepted:no-grant	0.00	yes				
кәһвә	4	41	4	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
чынлапмы	4	37	4	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
бәйләнмә	4	33	1	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
уйладыңмы	4	32	5	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
китәсеңме	4	21	2	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
теләгәнемне	4	21	10	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
янни	4	21	21	Tatoeba	clean:CC-BY-2.0-FR	1.00	yes				
очабыз	4	20	0	OpenSubtitles	risk-accepted:no-grant	0.00	yes				
булыштың	4	15	3	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
диегез	4	15	2	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
чиксезлек	4	14	0	OpenSubtitles	risk-accepted:no-grant	0.33	yes				
дидеме	4	11	2	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
кайгырт	4	11	3	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
сөйлисеңме	4	11	2	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
этәргечләр	4	11	0	OpenSubtitles	risk-accepted:no-grant	0.33	yes				
әйтәсезме	4	10	3	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	no				
оу	4	8	0	OpenSubtitles	risk-accepted:no-grant	0.00	no				
сөйләшкәнемне	4	8	2	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	no				
тәмамла	4	8	0	OpenSubtitles	risk-accepted:no-grant	0.00	no				
чистарт	4	8	3	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	no				
бла	4	5	0	OpenSubtitles	risk-accepted:no-grant	0.00	no				
сихерләү	4	5	1	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	no				
артыңа	4	4	2	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	no				
галәмнәр	4	4	0	OpenSubtitles	risk-accepted:no-grant	0.00	no				
мэринең	4	4	4	Tatoeba	clean:CC-BY-2.0-FR	1.00	no				
симуляциядә	4	4	0	OpenSubtitles	risk-accepted:no-grant	0.00	no				
зири	3	56	56	Tatoeba	clean:CC-BY-2.0-FR	1.00	yes				
ярармы	3	50	0	OpenSubtitles	risk-accepted:no-grant	0.00	yes				
мондамы	3	39	5	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.03	yes				
капы	3	34	0	OpenSubtitles	risk-accepted:no-grant	0.00	yes				
тотын	3	33	1	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
алдадың	3	32	1	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
кулларыңны	3	32	4	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
күрмәдеңме	3	32	1	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
үләчәкбез	3	30	3	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
үләчәксең	3	28	1	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
эшләгәнеңне	3	27	9	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
алмыйсыңмы	3	24	9	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
андамы	3	23	2	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
джунгли	3	23	0	OpenSubtitles	risk-accepted:no-grant	0.00	yes				
сүндер	3	23	6	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
аңладың	3	22	4	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
алдадым	3	21	4	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
анджелеска	3	20	0	OpenSubtitles	risk-accepted:no-grant	0.00	yes				
ишетәсезме	3	20	3	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
коралыңны	3	20	0	OpenSubtitles	risk-accepted:no-grant	0.00	yes				
дустыңны	3	19	5	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
куркасыңмы	3	19	5	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
саубул	3	19	0	OpenSubtitles	risk-accepted:no-grant	0.00	yes				
танышмы	3	19	11	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
әйтмәдегез	3	19	7	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
босс	3	18	2	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
әйткәнемне	3	18	7	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.06	yes				
кыланма	3	17	5	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
сөйләшәме	3	17	13	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
уйламадыңмы	3	17	2	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
җыенасыңмы	3	17	8	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
комачаулама	3	16	1	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
әйттеңме	3	16	6	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
теләдеңме	3	13	0	OpenSubtitles	risk-accepted:no-grant	0.00	yes				
шаяртам	3	13	4	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
җыендың	3	13	0	OpenSubtitles	risk-accepted:no-grant	0.00	yes				
эчик	3	12	6	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
алдама	3	11	2	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
анджелес	3	11	0	OpenSubtitles	risk-accepted:no-grant	0.00	yes				
сөйләштеңме	3	11	3	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
очам	3	10	3	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	no				
барачаксың	3	9	1	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	no				
бернишли	3	9	0	OpenSubtitles	risk-accepted:no-grant	0.00	no				
коткардыгыз	3	9	0	OpenSubtitles	risk-accepted:no-grant	0.00	no				
бирегезче	3	8	3	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	no				
капыга	3	8	0	OpenSubtitles	risk-accepted:no-grant	0.00	no				
дайсон	3	7	0	OpenSubtitles	risk-accepted:no-grant	1.00	no				
мандалорлы	3	7	0	OpenSubtitles	risk-accepted:no-grant	0.25	no				
синекеме	3	7	6	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	no				
утыртыгыз	3	7	2	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	no				
йот	3	6	1	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	no				
качабыз	3	6	0	OpenSubtitles	risk-accepted:no-grant	0.00	no				
китерермен	3	6	2	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	no				
очышта	3	6	0	OpenSubtitles	risk-accepted:no-grant	0.00	no				
һеймдалл	3	6	0	OpenSubtitles	risk-accepted:no-grant	0.00	no				
аңламыйсыңмы	3	5	1	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	no				
булмаячакмын	3	5	3	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	no				
бәйләнәсең	3	5	2	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	no				
кэсс	3	5	0	OpenSubtitles	risk-accepted:no-grant	1.00	no				
параличланган	3	5	0	OpenSubtitles	risk-accepted:no-grant	0.00	no				
синекеннән	3	5	4	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	no				
сөйләгәнеңне	3	5	3	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	no				
атмагыз	3	4	1	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	no				
барнсны	3	4	0	OpenSubtitles	risk-accepted:no-grant	1.00	no				
мутант	3	4	0	OpenSubtitles	risk-accepted:no-grant	0.25	no				
сәгатем	3	4	3	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	no				
туйдыңмы	3	4	3	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	no				
тылсымнары	3	4	0	OpenSubtitles	risk-accepted:no-grant	0.50	no				
кызыксынмыйм	3	3	3	Tatoeba	clean:CC-BY-2.0-FR	0.00	no				
моңарда	3	3	3	Tatoeba	clean:CC-BY-2.0-FR	0.00	no				
трансиверны	3	3	0	OpenSubtitles	risk-accepted:no-grant	0.00	no				
аңладыңмы	2	35	4	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
әйбәтме	2	33	0	OpenSubtitles	risk-accepted:no-grant	0.00	yes				
мәчкәй	2	32	1	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
булмыйчак	2	31	0	OpenSubtitles	risk-accepted:no-grant	0.00	yes				
таптыңмы	2	31	4	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
ох	2	29	1	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	1.00	yes				
сөйләшәсеңме	2	27	17	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
татлым	2	27	0	OpenSubtitles	risk-accepted:no-grant	0.05	yes				
үлдең	2	27	0	OpenSubtitles	risk-accepted:no-grant	0.00	yes				
таптыгызмы	2	25	9	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
коткардым	2	24	2	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
селкенмә	2	24	0	OpenSubtitles	risk-accepted:no-grant	0.00	yes				
сөйләрсең	2	23	4	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
тынычланыгыз	2	22	4	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
йокладым	2	18	13	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
корабтагы	2	18	0	OpenSubtitles	risk-accepted:no-grant	0.00	yes				
куштың	2	18	1	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
көтәрмен	2	18	8	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
ошыйсың	2	18	5	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
сөйләшмим	2	18	14	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
әнчек	2	18	2	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
тарт	2	17	4	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
үлдем	2	17	0	OpenSubtitles	risk-accepted:no-grant	0.06	yes				
үтерәчәкмен	2	17	0	OpenSubtitles	risk-accepted:no-grant	0.00	yes				
мәгарәләргә	2	16	0	OpenSubtitles	risk-accepted:no-grant	0.00	yes				
супербатыр	2	16	0	OpenSubtitles	risk-accepted:no-grant	0.08	yes				
булганыңны	2	15	4	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
маңка	2	15	2	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
минме	2	15	2	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
җибәрмә	2	15	2	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
бозар	2	14	14	Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
кайгыртам	2	14	2	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
калачаксың	2	14	1	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
китүеңне	2	14	7	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
уйламыйсыңмы	2	14	3	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
шикәрсез	2	14	7	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.08	yes				
ясадың	2	14	2	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
яхшыракмы	2	14	3	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
исерекбаш	2	13	3	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
сөйләдең	2	13	2	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
эшләдеңме	2	13	4	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
клерның	2	12	0	OpenSubtitles	risk-accepted:no-grant	1.00	yes				
күргәнемне	2	12	5	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
сагыначакмын	2	12	0	OpenSubtitles	risk-accepted:no-grant	0.00	yes				
сөйләмәдең	2	12	2	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
әйтәчәксең	2	12	0	OpenSubtitles	risk-accepted:no-grant	0.00	yes				
белмәдең	2	11	3	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
булганымны	2	11	3	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
гаепләмә	2	11	4	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
гоблин	2	11	0	OpenSubtitles	risk-accepted:no-grant	0.71	yes				
карадыңмы	2	11	5	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
кыс	2	11	1	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
сүндерегез	2	11	4	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
тырыштың	2	11	1	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
югалыгыз	2	11	0	OpenSubtitles	risk-accepted:no-grant	0.00	yes				
үтермәдем	2	11	0	OpenSubtitles	risk-accepted:no-grant	0.00	yes				
ачмы	2	10	2	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
ашарбыз	2	10	6	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
итәчәксең	2	10	0	OpenSubtitles	risk-accepted:no-grant	0.00	no				
кабатлагыз	2	10	5	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	no				
кикрикүк	2	10	1	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.50	no				
синди	2	10	0	OpenSubtitles	risk-accepted:no-grant	1.00	no				
суккыры	2	10	1	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	no				
ялгызмы	2	10	2	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	no				
алачаксыңмы	2	9	0	OpenSubtitles	risk-accepted:no-grant	0.00	no				
асрама	2	9	0	OpenSubtitles	risk-accepted:no-grant	0.00	no				
аңлыйсыңдыр	2	9	0	OpenSubtitles	risk-accepted:no-grant	0.00	no				
аңыңны	2	9	2	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	no				
белгәнче	2	9	0	OpenSubtitles	risk-accepted:no-grant	0.00	no				
ишеткәнең	2	9	3	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	no				
киләсеңме	2	9	3	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	no				
куркыттың	2	9	1	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	no				
күренмәү	2	9	0	OpenSubtitles	risk-accepted:no-grant	0.12	no				
көтәсеңме	2	9	3	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	no				
төзәт	2	9	7	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	no				
югалдың	2	9	0	OpenSubtitles	risk-accepted:no-grant	0.00	no				
яшисезме	2	9	6	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	no				
җитешмәдем	2	9	0	OpenSubtitles	risk-accepted:no-grant	0.00	no				
башлама	2	8	4	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	no				
булышыргамы	2	8	1	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	no				
ишетмәдеңме	2	8	0	OpenSubtitles	risk-accepted:no-grant	0.00	no				
йөгерегез	2	8	2	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	no				
нәмәзмәт	2	8	0	OpenSubtitles	risk-accepted:no-grant	0.00	no				
тешләреңне	2	8	2	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	no				
ух	2	8	2	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	no				
ялганлаган	2	8	8	Tatoeba	clean:CC-BY-2.0-FR	0.00	no				
янчыгымны	2	8	8	Tatoeba	clean:CC-BY-2.0-FR	0.00	no				
җыел	2	8	0	OpenSubtitles	risk-accepted:no-grant	0.00	no				
әйтмәссезме	2	8	4	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	no				
алганыңны	2	7	2	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	no				
алыйммы	2	7	2	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	no				
атасың	2	7	0	OpenSubtitles	risk-accepted:no-grant	0.00	no				
атаңның	2	7	0	OpenSubtitles	risk-accepted:no-grant	0.00	no				
ашадың	2	7	3	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	no				
ашармын	2	7	3	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	no				
барганымны	2	7	4	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	no				
белүегезне	2	7	3	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	no				
гриффиндор	2	7	0	OpenSubtitles	risk-accepted:no-grant	1.00	no				
киегез	2	7	3	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	no				
киткәнсең	2	7	3	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	no				
коп	2	7	0	OpenSubtitles	risk-accepted:no-grant	0.00	no				
күрмисеңме	2	7	2	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	no				
күтенә	2	7	0	OpenSubtitles	risk-accepted:no-grant	0.00	no				
кәһәрләнгән	2	7	0	OpenSubtitles	risk-accepted:no-grant	0.00	no				
пышылдау	2	7	1	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	no				
сагынырмын	2	7	5	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	no				
тылсымны	2	7	0	OpenSubtitles	risk-accepted:no-grant	0.00	no				
төзәттем	2	7	2	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	no				
ябам	2	7	2	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	no				
янтык	2	7	0	OpenSubtitles	risk-accepted:no-grant	0.00	no				
үтермәдең	2	7	0	OpenSubtitles	risk-accepted:no-grant	0.00	no				
анаңа	2	6	0	OpenSubtitles	risk-accepted:no-grant	0.00	no				
арцт	2	6	0	OpenSubtitles	risk-accepted:no-grant	1.00	no				
булышсаң	2	6	0	OpenSubtitles	risk-accepted:no-grant	0.17	no				
йокладыңмы	2	6	5	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	no				
