# Разговорная частота слов, измеренная миссией tt-dict-accept одним проходом по корпусам.
# Одна строка — слово и число его вхождений в обучающей части разговорных корпусов ПОСЛЕ
# фильтрации (`research/corpus/filters.py`). Ровно эта величина стоит в колонке `train_freq`
# очереди приёмки; здесь она есть и для слов, которых в очереди нет, — для тех, что уже стоят
# в поставляемом словаре.
#
# Зачем этот файл коммитится. Досье разделяет два вопроса: СОСТАВ словаря режется вторым
# независимым источником, ЧАСТОТЫ берутся из всего корпуса целиком, включая OpenSubtitles.
# Значит разговорную частоту надо прибавить и поставляемым словам тоже, иначе шкалы
# расходятся: у новичка частота из 482 млн токенов субтитров, у старожила — из письменного
# Leipzig. Первая сборка этой миссии так и ошиблась, и на префиксе «пап» тройка стала
# `папочка|папин|папочку`. Без этого файла пересборка требовала бы 1,5 ГБ корпуса на диске.
#
# Строк только для слов, которые могут оказаться в ассете: поставляемый словарь плюс очередь.
# Слова с нулевой разговорной частотой пропущены.
# Источник: Tatoeba-v2026-07-08.tt.txt.gz OpenSubtitles-v2024.tt.txt.gz
# Базовый ассет: 2d98ed359aa11261a5042a13c5ca9459c6e365c6ab4bf0563d0e3604a7485cae
# Пересоздаётся: python3 research/corpus/measure_accept.py <tag> out/shipped-1.8.4 <корпуса>
word	conv_freq
акчагызны	3
акчадан	9
акчалар	10
акчаларны	4
акчалары	4
акчаларын	5
акчалата	10
акчам	44
акчамны	16
акчаны	87
акчаның	7
акчарлак	4
акчарлаклар	3
акчасы	40
акчасыз	9
акчасын	24
акчасына	4
акчаң	24
акчаңны	15
акыл	125
акылга	50
акылдамы	4
акылдан	136
акыллы	181
акыллыга	3
акыллылар	3
акыллым	4
акыллының	6
акыллырак	30
акыллысы	3
акылны	9
акылның	4
акылсыз	86
акылсызга	4
акылсызлык	33
акылсызлыкка	4
акылы	30
акылыгызны	3
акылым	6
акылымда	4
акылымны	3
акылын	11
акылың	17
акылыңа	4
акылыңны	5
акырырга	3
ал	324
ала	857
алабута	3
алабыз	267
алабызмы	57
алай	424
алайса	410
алалар	29
алалармы	3
алам	624
алама	7
аламмы	209
аламы	63
алан	4
аланына	3
аланында	5
алар	3144
аларга	503
аларда	68
алардан	70
аларны	943
аларныкы	5
аларның	593
аласы	11
аласыз	187
аласызмы	150
аласым	6
аласың	342
аласыңмы	236
алачагын	4
алачак	77
алачакбыз	41
алачакбызмы	3
алачаклар	5
алачакмын	50
алачакмынмы	5
алачаксыз	14
алачаксызмы	4
алачаксың	30
алачаксыңмы	9
алачыгы	3
алачык	8
алачыкка	5
алачыкны	4
алачыкта	6
албасты	41
албастыга	5
албастыдан	3
албастылар	18
албастыны	12
алга	185
алган	318
алганга	3
алганда	38
алганлыгын	3
алганнан	16
алганнар	23
алганнарын	6
алганны	13
алганның	5
алгансыз	3
алганча	14
алганчы	17
алганы	5
алганым	5
алганымны	8
алганын	16
алганыңа	3
алганыңны	7
алгарыш	6
алгарышка	5
алгарышны	3
алгач	38
алгебра	3
алгоритм	7
алгоритмны	8
алгы	26
алгыры	146
алда	74
алдавың	3
алдаган	18
алдаганымны	3
алдаганын	3
алдаганыңны	3
алдагы	25
алдагыга	4
алдады	15
алдадыгыз	3
алдадык	4
алдадылар	3
алдадым	21
алдадың	32
алдакчы	46
алдалый	4
алдама	11
алдамады	4
алдамадым	4
алдамас	3
алдамый	3
алдамыйм	8
алдан	131
алданрак	14
алдап	18
алдар	3
алдарак	4
алдарга	32
алдасаң	5
алдау	47
алдаудан	3
алдаучан	4
алдаша	6
алдашу	4
алды	260
алдыбызда	4
алдыгыз	55
алдыгызга	17
алдыгызда	8
алдыгызмы	19
алдый	43
алдыйм	5
алдыйсы	6
алдыйсыз	4
алдыйсың	26
алдыйсыңмы	3
алдыйчак	5
алдык	62
алдылар	53
алдым	237
алдыма	26
алдымда	20
алдымы	8
алдына	47
алдынгы	21
алдында	88
алдындагы	6
алдыннан	114
алдырырга	5
алдың	120
алдыңа	46
алдыңда	14
алдыңмы	44
александра	3
алексей	3
алекстан	3
али	16
алиби	3
алиның	7
алинә	3
алисә	3
алка	6
алкоголь	10
алкогольгә	3
алкушымчасы	3
алкышлагыз	3
алкышлар	6
алла	45
алладан	3
алласы	4
аллахның	3
аллаһка	4
аллергия	10
аллергиясе	3
алло	18
алма	95
алмабыз	5
алмавы	5
алмавым	6
алмавымны	7
алмавын	7
алмавына	3
алмавың	4
алмавыңны	5
алмаган	85
алмаганга	3
алмаганда	3
алмаганнар	5
алмаганны	6
алмаганымны	6
алмаганын	3
алмагач	9
алмагачлар	4
алмагыз	12
алмады	135
алмадыгыз	9
алмадыгызмы	4
алмадык	32
алмадылар	19
алмадым	167
алмадың	24
алмадыңмы	11
алмаз	4
алмалар	8
алмам	33
алмамдыр	3
алман	111
алманнар	11
алманча	21
алманы	10
алманың	3
алмас	134
алмаса	12
алмасагыз	5
алмасак	16
алмасам	13
алмасаң	17
алмасбыз	4
алмаска	13
алмаслар	4
алмаслык	18
алмасмын	5
алмассыз	17
алмассызмы	61
алмассың	80
алмассыңмы	16
алмасы	6
алмасын	7
алмау	7
алмаш	17
алмашка	8
алмашны	5
алмашта	3
алмаштыра	6
алмаштырган	3
алмаштырды	4
алмаштырдылар	3
алмаштыру	6
алмаштырыла	3
алмаштырып	5
алмаштырырга	15
алмашу	7
алмашы	4
алмаячак	22
алмаячакбыз	11
алмаячакмын	12
алмаячаксың	5
алмый	373
алмыйбыз	135
алмыйбызмы	5
алмыйдыр	3
алмыйлар	24
алмыйм	691
алмыйммы	4
алмыймы	5
алмыйсыз	50
алмыйсызмы	10
алмыйсың	163
алмыйсыңмы	24
алмыйча	16
алмыйчак	9
алмыйчакбыз	11
алмыйчакмын	14
алмыйчаксыз	3
алмыйчаксың	15
алоһомора	3
алперт	3
алса	35
алсагыз	17
алсак	42
алсалар	6
алсам	43
алсаң	57
алсу	24
алсын	38
алсыннар	4
алтау	3
алтмыш	16
алтмышта	3
алтмыштан	3
алтмышынчы	3
алты	156
алтыга	11
алтыда	33
алтыдан	3
алтын	137
алтынга	6
алтынны	3
алтынчы	27
алтыны	3
алтыным	5
алтысы	9
алтысыннан	5
алу	156
алуга	12
алуда	4
алудан	8
алулар	9
алулары	3
алуларын	6
алуны	4
алучы	36
алучыга	3
алучылар	47
алучыларга	6
алучыларны	7
алучыларның	3
алуы	11
алуыбызга	4
алуыбызны	6
алуыгыз	3
алуыгызга	3
алуыгызны	6
алуыма	7
алуымны	5
алуын	15
алуына	5
алуың	6
алуыңа	3
алуыңны	10
алыгыз	105
алыйк	43
алыйм	19
алыйммы	7
алым	3
алымнары	7
алымы	3
алына	9
алыначак	4
алынган	46
алынды	12
алынма	3
алынырга	4
алып	1147
алыр	190
алырбыз	43
алырбызмы	6
алырга	418
алырлар	9
алырлык	47
алырмы	6
алырмын	82
алырмынмы	8
алырсыз	15
алырсызмы	3
алырсың	34
алырсыңмы	5
алыша	3
алыштыр	7
алыштыра	12
алыштырам	6
алыштыргысыз	5
алыштырды	4
алыштырдым	5
алыштырдың	3
алыштырыгыз	3
алыштырып	4
алыштырырга	36
алышуларны	3
алышыр	3
алышырга	5
альбом	6
альдо	3
альфа	6
альфред	5
аляскада	4
амбар	4
америкалы	5
америкалылар	7
америкалыларга	3
америкалымы	3
амин	7
амнезия	3
ана	97
анага	3
анагыз	6
анагызны	3
аназонның	3
анакай	4
аналар	9
аналары	4
анализ	4
анализы	4
аналитик	3
аналык	3
анам	10
ананың	4
анасы	46
анасын	13
анасының	3
анаң	63
анаңа	6
анаңны	21
анда	1627
андагы	12
андамы	23
анджелес	11
анджелеска	20
анджелеста	26
анджелестагы	4
анджелестан	4
андый	111
андыйлардан	3
андыйларны	3
андыйны	7
анестезия	4
аннан	306
аннары	530
аномалия	5
аноним	5
ансат	8
ансыз	26
ант	140
антенна	5
антеннаны	4
анти	3
антибиотиклар	8
антны	3
анты	4
аны	4362
анык	9
аныкы	30
анысы	11
аның	3908
аныңда	3
аныңча	7
апа	33
апагыз	5
апагызны	3
апалары	3
апам	32
апама	4
апамны	4
апамның	8
апаның	5
апасы	19
апасының	4
апаң	14
апаңа	7
апаңның	3
аппарат	8
аппаратын	3
аппендиксны	3
апрель	11
аптечка	6
аптечканы	3
аптыраган	5
аптырап	4
аптырашта	17
ара	6
арабызда	9
арага	3
арада	69
арадан	3
арадашчы	6
аракы	23
аракыга	3
араларыннан	3
аралаша	12
аралашкан	3
аралашу	29
аралашучан	10
аралашып	6
аралашырга	5
аралыгы	3
аралыгында	3
аралык	18
аралыкны	6
аралыкта	4
араны	6
арасы	7
арасына	15
арасында	166
арасындагы	47
арасыннан	9
арахис	20
арба	25
арбага	6
арбада	6
арбалар	3
арбалет	10
арбаны	7
арбасы	5
арбасында	3
арган	5
аргансың	4
аргы	4
арды	4
ардым	15
ардың	5
аренда	9
арендага	7
арзан	20
арзанлы	5
арзанрак	9
аристотель	5
арифметик	4
арка	7
аркага	4
аркада	12
аркам	9
аркама	4
аркамны	4
аркан	8
арканны	8
арканы	3
аркасы	3
аркасына	6
аркасында	128
аркаң	4
аркылы	34
армия	4
армиягә	4
армут	4
арнцт	4
арпа	4
арт	19
арта	50
артачак	3
артериясенә	3
артист	4
артка	63
арткан	9
арткарак	3
арткы	38
артлы	27
артмый	4
артта	51
арттагыларын	3
арттан	104
артты	19
арттыра	7
арттырам	3
арттырды	3
арттырдым	4
арттыру	7
арттырып	7
арттырырга	7
арту	4
артур	5
арты	14
артыграк	14
артыгы	3
артыгыздан	5
артыгын	19
артык	478
артым	4
артыма	4
артымнан	22
артымны	5
артын	6
артына	42
артында	102
артындагы	8
артыннан	279
артып	7
артыр	3
артыңа	4
артыңда	12
артыңнан	22
артыңны	3
ару	3
археолог	5
архивка	3
архитектор	5
архитектура	7
архитектурасы	4
арцт	6
арчу	4
аръягында	3
ары	9
арыган	41
арыгансың	3
арыды	8
арыдым	38
арыдыңмы	4
арый	4
арык	15
арымадым	3
арымас	3
арына	8
арынырга	5
арыслан	15
арысланнар	6
арыш	6
арья	4
асгардлы	4
асгардлылар	6
аска	51
аскарак	4
аскы	14
аслан	4
аслыгы	3
аспирин	8
асрама	9
асрамага	14
асрасаң	3
асрый	5
асс	3
аста	35
астагы	3
астан	12
астарак	6
астероид	7
астма	8
астрид	4
астронавт	4
астроном	3
асты	103
астыгызга	3
астын	6
астына	113
астында	236
астындагы	23
астыннан	22
астыртын	7
асфальт	3
асыл	16
асылда	14
асылташ	7
асылы	12
асылын	10
асылына	7
асылынган	5
асылында	3
асылынып	9
асып	24
ат	213
ата	154
атабыз	9
атаган	8
атаганнар	14
атагыз	29
атагызга	4
атагызны	3
атадан	5
атады	24
атадыгыз	4
атадым	6
атадың	3
атакай	49
атаклы	18
атала	93
аталар	6
аталган	37
атам	42
атама	14
атамагыз	3
атамас	6
атамасы	15
атамасын	3
атамы	3
атап	13
атар	15
атарбыз	3
атарга	40
атармын	5
атасаң	4
атасы	44
атасыз	5
атасын	7
атасына	4
атасының	5
атасың	7
атау	6
атачак	3
атаң	114
атаңа	3
атаңны	16
атаңның	7
атка	21
аткан	35
атканда	9
атканнар	6
атканнарын	4
атканчы	5
атканын	3
атла	17
атланган	5
атланмай	4
атлантида	3
атланыгыз	4
атланып	7
атлап	8
атлар	31
атларга	3
атларны	8
атлы	8
атлый	3
атлыйбыз	5
атма	7
атмагыз	4
атмассың	3
атмосфера	6
атмосферага	3
атмосферасы	6
атмый	4
атмыйчаксың	3
атна	197
атнага	36
атнада	100
атнадан	36
атналар	6
атналык	6
атнаны	5
атнаның	6
атнасы	4
атнасына	3
атны	11
атның	8
атом	31
атомга	4
атсаң	5
атсыз	4
атта	4
аттан	4
аттракционнар	3
атты	37
аттылар	16
аттым	9
аттың	10
аттыңмы	4
ату	28
атуга	4
атуны	3
атучы	7
атучыны	3
аты	17
атыгыз	17
атый	34
атыйбыз	8
атыйк	7
атыйлар	45
атыйм	4
атыйсыз	4
атыйсың	9
атыйсыңмы	5
атылган	5
атым	7
атын	13
атына	4
атып	67
атыш	7
атың	8
атыңны	4
ау	18
ауга	28
ауда	5
аулаган	3
аулак	9
аулакта	3
аулап	4
ауларга	4
аулый	9
аулыйлар	4
аунап	5
аучы	23
аучыдан	3
аучылар	5
аучыны	3
афтавыз	3
афәрин	19
афәт	4
ах	28
ахмак	243
ахмакка	7
ахмаклар	23
ахмакларны	4
ахмакларча	8
ахмаклыгы	5
ахмаклык	44
ахмакмы	3
ахмакны	6
ахмакның	5
ахмактан	4
ахры	31
ахрысы	21
ахыр	68
ахырга	14
ахыргача	11
ахыргы	9
ахырда	8
ахырзаман	4
ахырның	3
ахыры	40
ахырын	9
ахырына	23
ахырында	27
ахырындагы	3
ахырың	3
ацидалий	3
ач	185
ача	54
ачабыз	9
ачабызмы	3
ачалар	4
ачам	18
ачар	4
ачара	3
ачарга	67
ачармын	3
ачасызмы	3
ачасың	3
ачасыңмы	8
ачачак	5
ачачакбыз	5
ачкан	8
ачканда	6
ачкач	5
ачкыч	49
ачкычлар	22
ачкычларны	12
ачкычлары	5
ачкычларымны	7
ачкычларын	10
ачкычны	37
ачкычы	28
ачкычымны	3
ачкычын	7
ачлык	8
ачлыктан	14
ачма	13
ачмагыз	10
ачмады	3
ачмасаң	4
ачмаска	4
ачмы	10
ачмый	3
ачмыйм	3
ачса	5
ачсак	3
ачсам	3
ачсыннар	3
ачтан	10
ачты	31
ачтык	8
ачтым	13
ачтың	9
ачтыңмы	6
ачу	59
ачуга	3
ачудан	6
ачулана	12
ачуланам	4
ачуланасың	10
ачуланасыңмы	6
ачуланачак	7
ачуланган	3
ачуланды	4
ачуландыра	4
ачуландырырга	3
ачуланма	11
ачуланмас	3
ачуланмыйм	3
ачуланып	7
ачуланыр	6
ачуланырга	3
ачуланыштык	4
ачулы	40
ачуны	6
ачуы	25
ачуым	10
ачуымны	9
ачуын	13
ачуың	9
ачуыңны	6
ачы	41
ачыграк	3
ачыгыз	52
ачыйк	4
ачык	193
ачыккан	4
ачыкла	4
ачыклаган	7
ачыклаганнар	3
ачыклагыз	4
ачыклады	3
ачыкладылар	3
ачыкладым	6
ачыкланды	11
ачыкланыр	3
ачыкларбыз	4
ачыкларга	31
ачыклау	7
ачыклый	7
ачыклыйк	3
ачыклык	6
ачыкмы	4
ачыктан	5
ачыктым	3
ачыктыңмы	3
ачыла	22
ачылачак	5
ачылган	8
ачылгач	5
ачылды	16
ачылмый	6
ачылу	3
ачылып	5
ачылыр	4
ачылырга	5
ачып	63
ачыш	3
аш	223
аша	332
ашаган	32
ашаганда	19
ашаганнан	4
ашаганчы	3
ашаганым	3
ашаганың	5
ашагыз	14
ашады	22
ашадыгызмы	4
ашадык	9
ашадым	38
ашадың	7
ашадыңмы	14
ашама	10
ашамаган	8
ашамагыз	3
ашамады	9
ашамадым	12
ашамас	3
ашамаска	8
ашамлык	11
ашамлыклар	6
ашамы	3
ашамый	18
ашамыйбыз	4
ашамыйлар	4
ашамыйм	9
ашамыйсың	5
ашамыйча	4
ашап	74
ашар	20
ашарбыз	10
ашарга	213
ашармын	7
ашарсың	10
ашарсыңмы	6
ашаса	3
ашасам	6
ашасаң	8
ашат	3
ашата	4
ашаттык	3
ашату	5
ашатып	4
ашатырга	9
ашау	28
ашаудан	5
ашаучы	5
ашаучылар	3
ашачак	11
ашка	107
ашказаны	12
ашказаным	4
ашказанына	3
ашкайнату	3
ашкан	6
ашкынып	5
ашлар	4
ашлары	3
ашларын	3
ашлык	9
ашны	52
ашның	4
ашсын	3
ашта	6
аштан	21
ашты	9
ашханә	15
ашханәгә	3
ашханәдә	7
ашъяулык	3
ашы	14
ашыга	8
ашыгам	6
ашыгасың	5
ашыграк	8
ашыгу	3
ашыгыгыз	7
ашыгып	11
ашыгырга	31
ашыгыч	85
ашый	105
ашыйбыз	15
ашыйк	5
ашыйлар	15
ашыйм	47
ашыйсы	8
ашыйсыгыз	4
ашыйсыз	5
ашыйсызмы	3
ашыйсым	15
ашыйсың	17
ашыйсыңмы	9
ашык	23
ашыккан	8
ашыкма	16
ашыкмагыз	4
ашыкмасаң	3
ашыкмаска	3
ашыкмый	3
ашыкмыйм	10
ашыкмыйча	9
ашыксак	4
ашыксаң	5
ашыкты	5
ашыктырырга	3
ашым	3
ашымны	4
ашын	5
ашына	3
ашыра	5
ашыру	8
ашырыла	4
ашырырга	3
аэропорт	13
аэропортка	21
аэропортта	30
аэропорттан	4
аэропорты	3
аэропортына	3
аю	63
аюга	4
аюлар	17
аюларның	3
аюны	11
аюсы	7
аюсын	3
аягы	26
аягым	9
аягыма	6
аягымны	15
аягын	15
аягына	12
аягында	6
аягыннан	3
аягың	11
аягыңа	4
аягыңны	15
аяз	26
аяк	152
аякка	32
аяклар	12
аякларны	5
аяклары	17
аякларым	12
аякларымны	10
аякларын	9
аякларына	3
аякларың	8
аякларыңны	3
аяклы	9
аякны	5
аяксыз	3
аякта	5
аяктан	4
аяныч	14
аянычлы	9
аяусыз	8
аң	11
аңа	2069
аңарга	4
аңарда	16
аңардан	104
аңга	5
аңгыра	29
аңкау	3
аңла	15
аңлавы	4
аңлавымча	22
аңлаган	13
аңлаганча	8
аңлаганчы	8
аңлаганыңны	3
аңлагач	17
аңлагыз	3
аңлады	17
аңладыгыз	4
аңладыгызмы	13
аңладык	3
аңладым	139
аңладың	22
аңладыңмы	35
аңлаешлы	12
аңлаешсыз	9
аңламаган	17
аңламады	14
аңламадыгыз	4
аңламадылар	5
аңламадым	37
аңламадың	17
аңламадыңмы	13
аңламас	9
аңламассыз	3
аңламассың	4
аңламый	43
аңламыйлар	3
аңламыйм	147
аңламыйсыз	13
аңламыйсызмы	4
аңламыйсың	42
аңламыйсыңмы	5
аңланда	3
аңлап	35
аңлар	21
аңларбыз	3
аңларга	83
аңларлар	3
аңлармын	7
аңларсыз	5
аңларсың	21
аңласаң	5
аңлат	23
аңлата	110
аңлатам	17
аңлатамы	9
аңлатасым	3
аңлатасың	4
аңлатканын	14
аңлатма	22
аңлатмалар	4
аңлатмасы	3
аңлатмый	13
аңлатты	16
аңлаттым	3
аңлату	12
аңлатыгыз	9
аңлатыйм	7
аңлатыла	6
аңлатып	44
аңлатыр	4
аңлатырга	57
аңлатырмын	20
аңлатырсың	3
аңлау	34
аңлашабыз	3
аңлашу	3
аңлашыла	37
аңлашылды	17
аңлашылдымы	3
аңлашылмаган	6
аңлашылмаучанлык	14
аңлашылмаучылык	3
аңлашылмый	13
аңлаячак	5
аңлы	5
аңлый	108
аңлыйбыз	14
аңлыйдыр	3
аңлыйлар	9
аңлыйм	154
аңлыймы	3
аңлыйсыз	9
аңлыйсыздыр	5
аңлыйсызмы	44
аңлыйсың	26
аңлыйсыңдыр	9
аңлыйсыңмы	66
аңлыйчакмын	3
аңлыйчаксың	3
аңсыз	22
аңы	3
аңыма	3
аңымны	9
аңын	13
аңына	11
аңында	8
аңыңа	4
аңыңны	9
аһ	42
бабаем	5
бабай	72
бабайга	5
бабайның	10
бабалар	5
бабалары	5
бабаларыбыз	3
бабам	17
бабамның	3
бабасы	16
бавы	3
бавыр	11
багаж	9
багаждан	3
багана	10
баганага	7
баганалар	3
баганасы	6
баглый	3
багышлады	3
багышладым	5
багышланган	6
багышларга	5
багышлый	3
баеганчы	9
баегач	6
баеды	7
баеп	5
баерак	6
баета	3
баз	6
база	5
базар	17
базарга	10
базарда	12
базарны	4
базары	12
базарында	4
базасы	3
базда	7
баздың	4
базык	3
баи	6
бай	162
байар	4
байга	5
байгыш	4
байдан	3
байлар	10
байлыгы	13
байлык	19
байлыкка	4
байның	6
байрагы	5
байрак	18
байракларын	6
байт	3
байтак	14
бак	11
бака	29
бакага	3
баканы	4
бакс	16
баксаң	5
баксны	4
бактерияләр	5
бакча	25
бакчабызда	3
бакчага	7
бакчада	22
бакчамда	4
бакчаны	5
бакчасы	10
бакчасын	4
бакчасына	5
бакчасында	7
бакчачы	8
бакчачылык	3
бакый	3
бакыр	8
бакырны	3
бал	56
бала	437
балабыз	6
балавыз	3
балага	70
балагыз	7
балагызга	4
балагызны	4
балакаем	5
балакай	4
балалар	302
балаларга	32
балаларны	74
балаларның	11
балаларча	4
балалары	47
балаларыбыз	8
балаларыгыз	4
балаларыгызны	4
балаларым	22
балаларыма	3
балаларымны	3
балаларын	21
балаларына	12
балаларының	8
балаларың	10
балаларыңа	6
балалы	10
балам	61
балама	6
баламны	20
баламның	4
баламы	3
балан	4
баланы	92
баланың	24
балар	3
баласы	115
баласыз	3
баласын	25
баласына	7
баласының	7
балачагы	4
балачак	10
балачакта	33
балачактан	19
балаң	16
балаңа	4
балаңны	6
балдагын	7
балдак	16
балдаклар	3
балдакны	8
балдан	3
балет	4
балигъ	7
балконда	3
балкый	19
балкып	10
балкыш	7
балкышка	3
балкышлар	5
балл	20
баллар	4
баллы	11
балта	30
балтага	3
балтаны	7
балчык	6
балыгы	11
балык	168
балыкка	8
балыклар	10
балыкларны	3
балыклы	3
балыкны	20
балыкның	4
балыкчы	8
бам	6
бамбук	14
банан	13
бананнар	8
банда	4
бандит	4
банк	25
банка	7
банканы	3
банкасы	3
банкка	9
банклар	4
банкны	5
банкрот	5
банкта	12
банкы	5
бар	3246
бара	439
барабан	5
барабыз	133
барабызмы	15
баралар	20
барам	243
барамы	11
барасы	46
барасыгыз	5
барасыз	26
барасызмы	27
барасым	36
барасын	9
барасың	92
барасыңмы	50
барачагын	4
барачак	42
барачакбыз	17
барачаклар	4
барачакмын	13
барачаксыз	6
барачаксың	9
барби	3
барга	13
барган	74
барганга	5
барганда	43
барганнар	5
барганны	4
барганчы	5
барганы	4
барганыбызны	3
барганыгызны	6
барганымны	7
барганын	29
барганыңны	5
баргач	7
барда	32
бардан	5
барды	67
бардыгыз	9
бардыгызмы	9
бардык	24
бардылар	11
бардым	64
бардымы	4
бардыр	29
бардың	13
бардыңмы	4
барлар	5
барларга	5
барлыгы	12
барлыгымны	3
барлыгын	63
барлыгына	4
барлык	468
барлыкка	115
барма	18
бармагы	4
бармагыз	3
бармагым	3
бармагымны	3
бармагын	7
бармагына	3
бармагыңны	3
бармады	6
бармадым	7
бармадың	6
бармак	30
бармакка	5
бармаклар	4
бармаклары	12
бармакларым	4
бармакларын	6
